,,,,,, ,,Updated on:,8/13/2026 1:26 PM,,,5957,,,,,,
Item,Description,Cases Available,Suggested Quantity USA,Suggested Quantity ITA,Confirmed Quantity,Comments,,Item,Description,Lot#,Receipt Date,Cases Available,Reserved,Comments,Net Available,Expiration Date,,
40169,RICOTTA SALATA V.P.,0,,,,Main customer DeKalb,,02005,ASIAGO FRESCO PDO WHOLE WHEEL,1304220,06/18/2026,14,,,380.822,05/07/2027,,
40174,PECORINO TOSCANO PDO WW,151,,,,Selected ,,02005,ASIAGO FRESCO PDO WHOLE WHEEL,60626157,ETA 8/25,#24,,,668.89,Jul-27,,
40175,PECORINO TOSCANO PDO WW AGED,0,,,,Selected ,,02073,ASIAGO FRESCO PDO 1/4 WHEEL NT,1304244,06/18/2026,91,,,647.264,01/09/2027,,
0001,CHRISTMAS GIFT BOX ,0,,,,"only for Christmas (boxes to add to the orders in November, or to send per FedEx)",,02073,ASIAGO FRESCO PDO 1/4 WHEEL NT,1312791,07/23/2026,120,,,827.17,02/20/2027,,
,,,,,,,,02073,ASIAGO FRESCO PDO 1/4 WHEEL NT,1316588,08/06/2026,120,,,816.02,03/11/2027,,
,,,,,,,,02073,ASIAGO FRESCO PDO 1/4 WHEEL NT,1308183,07/03/2026,240,,,1701.72,02/03/2027,,
,,,,,,,,02091,ASIAGO FRESCO PDO 7 OZ EW,1316584,08/06/2026,19,,,126.72,03/11/2027,,
,,,,,,,,02206,MOUNTAIN ASIAGO FRESCO PDO WW,1296190,05/15/2026,7,,,207.286,12/16/2026,,
,,,,,,,,02206,MOUNTAIN ASIAGO FRESCO PDO WW,1296191,05/15/2026,24,,,713.88,12/16/2026,,
,,,,,,,,02206,MOUNTAIN ASIAGO FRESCO PDO WW,1304213,06/18/2026,24,,,710.06,01/07/2027,,
,,,,,,,,03003,ASIAGO VECCHIO PDO WHOLE WHEEL,1290749,04/24/2026,20,,,381.166,03/22/2027,,
,,,,,,,,03014,ASIAGO VECCHIO PDO 1/4 WHEEL,1304212,06/18/2026,17,,,84.893,01/09/2027,,
,,,,,,,,03014,ASIAGO VECCHIO PDO 1/4 WHEEL,1312795,07/23/2026,24,,,114.99,02/20/2027,,
,,,,,,,,03023,ASIAGO AGED WHOLE WHEEL,1268920,01/29/2026,34,,,630.36,08/30/2026,,
,,,,,,,,04028,DRUNKEN CHEESE WHOLE WHEEL (IMBRIAGO),1300466,06/03/2026,4,,,23.946,10/22/2026,,
,,,,,,,,04028,DRUNKEN CHEESE WHOLE WHEEL (IMBRIAGO),1290754,04/24/2026,12,,,78.592,11/22/2026,,
,,,,,,,,04028,DRUNKEN CHEESE WHOLE WHEEL (IMBRIAGO),1312777,07/23/2026,24,,,144.89,02/24/2027,,
,,,,,,,,04046,VEZZENA CHEESE AGED 1/4 WHEEL,1296206,05/15/2026,19,,,94.928,12/16/2026,,
,,,,,,,,04145,LAGORAI CHEESE 1/4 WHEEL,1296205,05/15/2026,23,,,156.05,12/16/2026,,
,,,,,,,,04154,LAGORAI CHEESE WHOLE WHEEL,1248589,11/12/2025,5,,,150.63,09/13/2026,,
,,,,,,,,04176,DRUNKEN CHEESE 7 OZ EW (IMBRIAGO),1316550,08/06/2026,144,144,HEB 57X331093,760.32,03/10/2027,,
,,,,,,,,04176,DRUNKEN CHEESE 7 OZ EW (IMBRIAGO),1316549,08/06/2026,144,72,HEB 57X340372,760.32,03/11/2027,,
,,,,,,,,04181,VEZZENA CHEESE AGED WHOLE WHEEL,1296208,05/15/2026,15,,,304.849,04/15/2027,,
,,,,,,,,04211,ALPEGGIO CHEESE 7 OZ EW,1316566,08/06/2026,14,,,126.72,03/11/2027,,
,,,,,,,,05001,GRANA PADANO PDO WHOLE WHEEL,1304221,06/18/2026,15,5,Di Palo 0814,1229.439,05/07/2027,,
